iter	RMSE
142	5.173111017
143	5.16664978
144	5.161075521
145	5.156723
146	5.152662958
147	5.144025457
148	5.137274437
149	5.132966627
150	5.127169361
151	5.124286557
152	5.117587599
153	5.112370777
154	5.109094796
155	5.103200846
156	5.099412153
157	5.095017499
158	5.091176903
159	5.084758861
160	5.083766788
161	5.078629155
162	5.07388343
163	5.068892675
164	5.065243386
165	5.061261406
166	5.056625036
167	5.051812028
168	5.048312929
169	5.042869721
170	5.034872449
171	5.030186155
172	5.027019232
173	5.022444524
174	5.015499019
175	5.012088615
176	5.008616134
177	5.003348308
178	4.997300731
179	4.991393693
180	4.986131094
181	4.981404008
182	4.975915796
183	4.973222108
184	4.968398418
185	4.964180517
186	4.961021641
187	4.957777936
188	4.952413019
189	4.946326526
190	4.942248497
191	4.935689257
192	4.931783992
193	4.928739589
194	4.924574018
195	4.919628343
196	4.913147649
197	4.9100957
198	4.905903457
199	4.902672953
200	4.900192128
201	4.8965701
202	4.892292941
203	4.887799702
204	4.886100768
205	4.881391676
206	4.877627917
207	4.872534365
208	4.868422011
209	4.867249891
210	4.862779134
211	4.859244086
212	4.855983022
213	4.847563844
214	4.846523207
215	4.84347493
216	4.840730997
217	4.838222962
218	4.834674793
219	4.829310392
220	4.823573357
221	4.82011171
222	4.815066627
223	4.811051967
224	4.808064979
225	4.803646869
226	4.801139343
227	4.797005946
228	4.79449602
229	4.790352835
230	4.787550674
231	4.784618744
232	4.782991374
233	4.781609884
234	4.778124357
235	4.776320232
236	4.773234395
237	4.770416301
238	4.766870269
239	4.76620579
240	4.76236114
241	4.75555928
242	4.751547723
243	4.747636693
244	4.745982651
245	4.741947729
246	4.739917466
247	4.739119444
248	4.73592851
249	4.729830171
250	4.727510498
251	4.726729452
252	4.72398186
253	4.720938333
254	4.715490626
255	4.71289977
256	4.706621942
257	4.703718461
258	4.699808901
259	4.697646777
260	4.69380615
261	4.69271658
262	4.689938546
263	4.689382588
264	4.687627426
265	4.687186358
266	4.683579873
267	4.682470427
268	4.676857797
269	4.675994821
270	4.670671003
271	4.665244745
272	4.662670692
273	4.658747704
274	4.654274841
275	4.646362216
276	4.641936253
277	4.637180559
278	4.634756199
279	4.630208666
280	4.628726888
281	4.625495928
282	4.624956537
283	4.622147439
284	4.614835627
285	4.614062703
286	4.608340417
287	4.603917178
288	4.602914359
289	4.600457192
290	4.594739606
291	4.590882809
292	4.58584181
293	4.584195035
294	4.581503721
295	4.577035425
296	4.573765266
297	4.566937776
298	4.56222252
299	4.55750079
300	4.554231887
301	4.553634958
302	4.550810051
303	4.550321042
304	4.545728972
305	4.543652978
306	4.541315625
307	4.539126997
308	4.534020728
309	4.529798266
310	4.529452381
311	4.527196235
312	4.51963803
313	4.510682975
314	4.509027318
315	4.504898334
316	4.504575601
317	4.500797311
318	4.496940182
319	4.49515027
320	4.492550476
321	4.488185249
322	4.485872522
323	4.480713183
324	4.476616734
325	4.474393278
326	4.470244008
327	4.465850986
328	4.464186139
329	4.461192004
330	4.458485845
331	4.454526258
332	4.450173058
333	4.444972252
334	4.442863355
335	4.439948035
336	4.43573476
337	4.431161836
338	4.430725317
339	4.430424882
340	4.426519542
341	4.42551257
342	4.421651293
343	4.419606284
344	4.414021411
345	4.410222135
346	4.405284843
347	4.401340687
348	4.400934827
349	4.395485333
350	4.394201584
351	4.393787191
352	4.391220222
353	4.389599876
354	4.387572048
355	4.381494506
356	4.381011316
357	4.378226045
358	4.374678914
359	4.370953968
360	4.370575882
361	4.367860584
362	4.363080783
363	4.36283568
364	4.361210083
365	4.360847856
366	4.358941336
367	4.355057878
368	4.347498365
369	4.342465151
370	4.339372993
371	4.339061142
372	4.334205469
373	4.332291394
374	4.329291057
375	4.32835189
376	4.325720299
377	4.323428888
378	4.321249611
379	4.319934369
380	4.316180724
381	4.311348847
382	4.310916327
383	4.30922437
384	4.303192818
385	4.300517433
386	4.2985153
387	4.296968744
388	4.295210114
389	4.291433931
390	4.286801958
391	4.286061503
392	4.284294493
393	4.281531532
394	4.27592644
395	4.27201966
396	4.26754399
397	4.266249749
398	4.259555965
399	4.25563379
400	4.253136224
401	4.249465278
402	4.241993262
403	4.240153173
404	4.236416255
405	4.235023382
406	4.234723456
407	4.233259102
408	4.227372465
409	4.222609426
410	4.219018456
411	4.215375154
412	4.213416353
413	4.21272129
414	4.207803387
415	4.205860434
416	4.203211095
417	4.202937744
418	4.198416197
419	4.19363924
420	4.192121606
421	4.189897969
422	4.189260599
423	4.188067496
424	4.183900065
425	4.178647337
426	4.1782739
427	4.174463258
428	4.171788793
429	4.168546702
430	4.167604808
431	4.163599227
432	4.156856833
433	4.15236627
434	4.146317719
435	4.142821047
436	4.139848854
437	4.137203272
438	4.136058144
439	4.131066691
440	4.126841692
441	4.123071451
442	4.120447297
443	4.116497141
444	4.114087081
445	4.10979739
446	4.104594035
447	4.104259059
448	4.102858866
449	4.100746251
450	4.095469896
451	4.092901346
452	4.089302645
453	4.083175297
454	4.082847332
455	4.079247419
456	4.074597077
457	4.071231167
458	4.070142166
459	4.066987933
460	4.063025524
461	4.05889081
462	4.057093859
463	4.054391709
464	4.05154919
465	4.048206942
466	4.047962001
467	4.04587251
468	4.040143079
469	4.039089432
470	4.035112959
471	4.0340156
472	4.029369397
473	4.025334187
474	4.024008498
475	4.023242767
476	4.018719974
477	4.01569865
478	4.015314664
479	4.01298868
480	4.009672267
481	4.008344525
482	4.007516999
483	4.003140291
484	4.001733953
485	3.999694037
486	3.996498089
487	3.992440966
488	3.989429557
489	3.989219699
490	3.988577359
491	3.987553527
492	3.987161349
493	3.985329698
494	3.980795019
495	3.980678746
496	3.979951331
497	3.976146575
498	3.972700458
499	3.968243739
500	3.965524704
501	3.963028105
502	3.962698959
503	3.961088162
504	3.959430079
505	3.955277509
506	3.951919404
507	3.948535291
508	3.945676645
509	3.943130805
510	3.939871496
511	3.936825032
512	3.932928356
513	3.930088748
514	3.929404064
515	3.928703479
516	3.925905389
517	3.925673617
518	3.923036315
519	3.922036639
520	3.919720637
521	3.915135724
522	3.91169968
523	3.911462553
524	3.909308635
525	3.908975024
526	3.904508917
527	3.902163584
528	3.900523873
529	3.899895386
530	3.899498278
531	3.899250673
532	3.898893375
533	3.89400556
534	3.891666962
535	3.889923506
536	3.886625913
537	3.886117044
538	3.885890268
539	3.881829937
540	3.878268762
541	3.876641724
542	3.873818911
543	3.869954608
544	3.867699129
545	3.867439403
546	3.863597508
547	3.861739766
548	3.86159779
549	3.858517956
550	3.85681762
551	3.856579441
552	3.854100543
553	3.851136937
554	3.847257069
555	3.844616601
556	3.84094259
557	3.839930409
558	3.837463422
559	3.834284041
560	3.831665309
561	3.831429504
562	3.83058382
563	3.826953215
564	3.825076042
565	3.822958037
566	3.821349063
567	3.820662752
568	3.817119711
569	3.815262394
570	3.811064716
571	3.807322542
572	3.804141168
573	3.802216598
574	3.801993894
575	3.797972557
576	3.796353255
577	3.794768738
578	3.794420512
579	3.789485431
580	3.786880948
581	3.782667833
582	3.778473804
583	3.774936906
584	3.772027192
585	3.770424699
586	3.768576774
587	3.765533139
588	3.761526054
589	3.76027761
590	3.757125191
591	3.755898252
592	3.754383344
593	3.752142611
594	3.748966644
595	3.746826705
596	3.743825689
597	3.742313671
598	3.741251441
599	3.740719264
600	3.738412538
601	3.737004885
602	3.736536648
603	3.732943648
604	3.729886637
605	3.725800568
606	3.724392099
607	3.724213826
608	3.721823949
609	3.720554589
610	3.716768033
611	3.712632445
612	3.710582768
613	3.707664134
614	3.705647332
615	3.702931462
616	3.699827509
617	3.698386526
618	3.696374581
619	3.696170081
620	3.694216796
621	3.693806049
622	3.691673576
623	3.688632022
624	3.68360817
625	3.682712387
626	3.680287747
627	3.679962153
628	3.679837905
629	3.677275407
630	3.676647619
631	3.676529608
632	3.676214619
633	3.67440863
634	3.673704579
635	3.670005464
636	3.667977835
637	3.666359009
638	3.666125627
639	3.663232778
640	3.661233596
641	3.657065867
642	3.65247604
643	3.65222335
644	3.651902192
645	3.648930576
646	3.645651873
647	3.644369454
648	3.641404949
649	3.639432965
650	3.636981381
651	3.633374303
652	3.629496832
653	3.628450967
654	3.624720245
655	3.622256409
656	3.622068737
657	3.620017501
658	3.617051558
659	3.61224063
660	3.61003762
661	3.608140051
662	3.605198713
663	3.602028122
664	3.601806129
665	3.599704709
666	3.596309307
667	3.593113032
668	3.59141751
669	3.590910239
670	3.589956879
671	3.588813341
672	3.588539417
673	3.586420641
674	3.586154011
675	3.584023901
676	3.58255348
677	3.582391107
678	3.579377666
679	3.578527409
680	3.57723858
681	3.575764579
682	3.572004015
683	3.569567627
684	3.569464763
685	3.56885811
686	3.568773806
687	3.566934711
688	3.566157359
689	3.562557393
690	3.560012618
691	3.559931066
692	3.558181203
693	3.556136141
694	3.554315884
695	3.553783028
696	3.552258884
697	3.551063393
698	3.54766331
699	3.547571545
700	3.546867934
701	3.544134814
702	3.541433716
703	3.537758143
704	3.535871802
705	3.532179888
706	3.531776733
707	3.529602216
708	3.528066864
709	3.526361901
710	3.526229198
711	3.523524077
712	3.521164789
713	3.520135836
714	3.517844369
715	3.517133029
716	3.514646913
717	3.513514421
718	3.511413368
719	3.508195543
720	3.504758233
721	3.501697743
722	3.500991349
723	3.500124667
724	3.49879633
725	3.498525512
726	3.496356816
727	3.494637087
728	3.491964648
729	3.491517404
730	3.488352467
731	3.48601371
732	3.484847105
733	3.482400409
734	3.480801393
735	3.478413455
736	3.475980534
737	3.475355278
738	3.473503003
739	3.471193019
740	3.469200658
741	3.468793372
742	3.467691349
743	3.464477896
744	3.460684543
745	3.459939022
746	3.459543224
747	3.45918601
748	3.45854117
749	3.457473348
750	3.453796377
751	3.453587158
752	3.451230079
753	3.450766775
754	3.449077705
755	3.447166839
756	3.445493046
757	3.442106801
758	3.440167466
759	3.439915535
760	3.436847366
761	3.436645442
762	3.432737304
763	3.430578184
764	3.426403983
765	3.422475584
766	3.420868631
767	3.418772778
768	3.417431187
769	3.415348149
770	3.412149354
771	3.410716629
772	3.408035827
773	3.404836547
774	3.404700682
775	3.402986783
776	3.402754237
777	3.402003103
778	3.399430553
779	3.398216053
780	3.397181186
781	3.396158108
782	3.395700857
783	3.393243905
784	3.390660895
785	3.389636021
786	3.387882753
787	3.385122766
788	3.382837008
789	3.381295791
790	3.379459368
791	3.378363475
792	3.377874138
793	3.374449415
794	3.374296715
795	3.373222626
796	3.370715169
797	3.368490749
798	3.367112699
799	3.365764886
800	3.365272456
801	3.363591084
802	3.363247849
803	3.360466237
804	3.358364977
805	3.357472929
806	3.357290767
807	3.355858388
808	3.354638181
809	3.353205286
810	3.351089808
811	3.348576113
812	3.34651894
813	3.343894132
814	3.343728476
815	3.340472369
816	3.340150877
817	3.338256207
818	3.336844589
819	3.336684747
820	3.333309982
821	3.332569867
822	3.329949888
823	3.326833388
824	3.325497304
825	3.324090007
826	3.321961196
827	3.320626263
828	3.319297664
829	3.31847837
830	3.317658448
831	3.315744432
832	3.314867626
833	3.313027516
834	3.312529016
835	3.311233597
836	3.308006906
837	3.306662282
838	3.305321031
839	3.305059968
840	3.3025161
841	3.300312781
842	3.299646012
843	3.298565091
844	3.296257563
845	3.294895303
846	3.29361101
847	3.289836083
848	3.288374373
849	3.28437999
850	3.284153518
851	3.282985632
852	3.28292187
853	3.282795644
854	3.281152738
855	3.280072808
856	3.277351882
857	3.277292335
858	3.274876533
859	3.274563235
860	3.274510864
861	3.273717702
862	3.271106425
863	3.271054401
864	3.267868388
865	3.266075197
866	3.264779483
867	3.263947962
868	3.262325177
869	3.260290337
870	3.257129896
871	3.255135505
872	3.253843794
873	3.252484915
874	3.249837512
875	3.248402503
876	3.24711129
877	3.246339788
878	3.243624573
879	3.242541508
880	3.241275772
881	3.240349139
882	3.237797159
883	3.236969838
884	3.235540281
885	3.232884014
886	3.232332848
887	3.232204733
888	3.229858961
889	3.229075254
890	3.228794265
891	3.227361705
892	3.22642152
893	3.22576118
894	3.224091047
895	3.221600918
896	3.219783159
897	3.217921983
898	3.216971817
899	3.216040624
900	3.213658222
901	3.213381434
902	3.210981544
903	3.21008126
904	3.208637129
905	3.207199499
906	3.206645468
907	3.204419402
908	3.202538608
909	3.200852958
910	3.199416011
911	3.196651017
912	3.194618903
913	3.193365717
914	3.191917166
915	3.191315542
916	3.190381798
917	3.189232489
918	3.186784628
919	3.184261734
920	3.181820944
921	3.179311486
922	3.17761326
923	3.174719097
924	3.174407832
925	3.172988002
926	3.17044973
927	3.170288412
928	3.170181607
929	3.168879625
930	3.167585416
931	3.16399374
932	3.161857868
933	3.161054438
934	3.159115258
935	3.157084486
936	3.156258081
937	3.155478168
938	3.154423615
939	3.153982145
940	3.153926865
941	3.152775702
942	3.151259064
943	3.15087135
944	3.150838147
945	3.150115991
946	3.148861519
947	3.146395666
948	3.144316891
949	3.141226917
950	3.140047593
951	3.138869026
952	3.137593049
953	3.135913731
954	3.133786081
955	3.133074907
956	3.131848993
957	3.130371625
958	3.127302227
959	3.126771911
960	3.12643302
961	3.124756337
962	3.122875963
963	3.120845427
964	3.117997854
965	3.116324895
966	3.114346433
967	3.113398517
968	3.112638918
969	3.111860494
970	3.110680174
971	3.108702707
972	3.106124388
973	3.104822983
974	3.101427684
975	3.09946833
976	3.097238108
977	3.095693254
978	3.094064437
979	3.092205347
980	3.091818457
981	3.090449612
982	3.089215872
983	3.088481471
984	3.087305974
985	3.085164007
986	3.083901798
987	3.082537509
988	3.080077875
989	3.078450091
990	3.074961855
991	3.073961425
992	3.073726708
993	3.071405145
994	3.069518328
995	3.068831225
996	3.067335511
997	3.064954572
998	3.063113553
999	3.06182255
