iter	Passed	Remaining
518	710	658
519	711	656
520	711	654
521	716	656
522	724	660
523	725	658
524	726	657
525	727	655
526	730	656
527	733	655
528	734	653
529	735	652
530	736	650
531	737	648
532	740	648
533	741	647
534	745	648
535	746	646
536	747	644
537	749	643
538	750	641
539	751	639
540	751	637
541	752	636
542	754	634
543	755	633
544	756	631
545	762	634
546	763	632
547	764	630
548	765	628
549	766	626
550	767	625
551	768	623
552	769	622
553	770	620
554	771	618
555	774	618
556	775	616
557	776	615
558	777	613
559	778	611
560	778	609
561	779	607
562	780	605
563	781	603
564	781	602
565	782	600
566	783	598
567	784	596
568	784	594
569	785	592
570	789	593
571	790	591
572	790	589
573	791	587
574	792	585
575	792	583
576	793	581
577	794	580
578	795	578
579	796	576
580	796	574
581	797	572
582	798	571
583	799	569
584	799	567
585	802	567
586	804	565
587	805	564
588	805	562
589	806	560
590	807	558
591	809	557
592	810	555
593	810	554
594	811	552
595	812	550
596	813	549
597	815	548
598	817	547
599	818	545
600	818	543
601	819	541
602	820	540
603	821	538
604	821	536
605	822	534
606	823	532
607	823	531
608	824	529
609	825	527
610	825	525
611	826	524
612	827	522
613	828	520
614	831	520
615	832	519
616	833	517
617	834	515
618	835	514
619	836	512
620	837	511
621	838	509
622	839	508
623	840	506
624	841	505
625	846	505
626	848	504
627	849	502
628	850	501
629	851	499
630	852	498
631	852	496
632	853	495
633	855	493
634	856	492
635	857	490
636	859	489
637	861	488
638	863	487
639	864	486
640	866	485
641	867	483
642	868	482
643	870	481
644	871	479
645	880	482
646	881	480
647	882	479
648	883	477
649	884	476
650	885	474
651	886	473
652	887	471
653	889	470
654	890	469
655	891	467
656	892	465
657	893	464
658	894	462
659	895	461
660	896	459
661	897	458
662	899	456
663	900	455
664	903	454
665	904	453
666	905	452
667	906	450
668	908	449
669	909	447
670	915	448
671	919	448
672	920	447
673	921	445
674	922	444
675	923	442
676	925	441
677	929	441
678	931	440
679	932	438
680	932	436
681	933	435
682	934	433
683	935	432
684	935	430
685	936	428
686	937	426
687	938	425
688	940	424
689	947	425
690	948	423
691	949	422
692	950	421
693	952	419
694	953	418
695	954	416
696	954	415
697	955	413
698	958	412
699	959	411
700	960	409
701	961	407
702	961	406
703	962	404
704	963	403
705	963	401
706	964	399
707	965	398
708	966	396
709	967	395
710	967	393
711	968	391
712	969	390
713	969	388
714	970	386
715	974	386
716	975	385
717	976	383
718	977	381
719	977	380
720	978	378
721	979	377
722	979	375
723	980	373
724	981	372
725	982	370
726	983	369
727	983	367
728	984	366
729	985	364
730	987	363
731	988	361
732	988	360
733	989	358
734	990	357
735	990	355
736	991	353
737	992	352
738	993	350
739	993	349
740	994	347
741	995	346
742	996	344
743	996	342
744	997	341
745	998	339
746	1001	339
747	1002	337
748	1003	336
749	1004	334
750	1005	333
751	1006	331
752	1007	330
753	1007	328
754	1008	327
755	1009	325
756	1010	324
757	1011	322
758	1011	321
759	1012	319
760	1016	319
761	1017	317
762	1018	316
763	1019	315
764	1020	313
765	1021	311
766	1021	310
767	1022	308
768	1023	307
769	1024	305
770	1024	304
771	1025	302
772	1026	301
773	1026	299
774	1027	298
775	1030	297
776	1032	296
777	1033	294
778	1033	293
779	1034	291
780	1035	290
781	1035	288
782	1036	287
783	1037	285
784	1038	284
785	1038	282
786	1039	281
787	1040	279
788	1040	278
789	1041	276
790	1042	275
791	1044	274
792	1045	272
793	1046	271
794	1047	270
795	1048	268
796	1049	267
797	1050	265
798	1050	264
799	1051	262
800	1052	261
801	1053	260
802	1053	258
803	1054	257
804	1055	255
805	1056	254
806	1057	252
807	1057	251
808	1058	249
809	1059	248
810	1059	247
811	1060	245
812	1061	244
813	1062	242
814	1062	241
815	1063	239
816	1064	238
817	1064	236
818	1065	235
819	1066	234
820	1066	232
821	1069	231
822	1070	230
823	1071	228
824	1072	227
825	1073	226
826	1074	224
827	1075	223
828	1076	221
829	1077	220
830	1078	219
831	1079	217
832	1079	216
833	1081	215
834	1081	213
835	1083	212
836	1085	211
837	1086	210
838	1088	208
839	1089	207
840	1105	208
841	1106	207
842	1113	207
843	1114	206
844	1117	204
845	1120	204
846	1122	202
847	1130	202
848	1131	201
849	1133	200
850	1135	198
851	1136	197
852	1138	196
853	1185	202
854	1189	201
855	1191	200
856	1192	199
857	1194	197
858	1196	196
859	1197	194
860	1198	193
861	1198	191
862	1200	190
863	1201	189
864	1202	187
865	1206	186
866	1208	185
867	1213	184
868	1214	183
869	1216	181
870	1217	180
871	1218	178
872	1219	177
873	1220	175
874	1221	174
875	1222	173
876	1223	171
877	1225	170
878	1227	168
879	1228	167
880	1230	166
881	1231	164
882	1232	163
883	1233	161
884	1234	160
885	1235	158
886	1235	157
887	1236	155
888	1237	154
889	1240	153
890	1241	151
891	1243	150
892	1244	149
893	1244	147
894	1245	146
895	1246	144
896	1246	143
897	1247	141
898	1248	140
899	1249	138
900	1249	137
901	1250	135
902	1251	134
903	1253	133
904	1254	131
905	1255	130
906	1256	128
907	1257	127
908	1258	125
909	1258	124
910	1259	123
911	1260	121
912	1260	120
913	1261	118
914	1262	117
915	1263	115
916	1263	114
917	1264	112
918	1269	111
919	1270	110
920	1272	109
921	1273	107
922	1274	106
923	1275	104
924	1276	103
925	1276	102
926	1277	100
927	1278	99
928	1278	97
929	1279	96
930	1281	94
931	1283	93
932	1284	92
933	1286	90
934	1287	89
935	1287	88
936	1288	86
937	1289	85
938	1290	83
939	1290	82
940	1291	80
941	1292	79
942	1293	78
943	1295	76
944	1296	75
945	1297	74
946	1299	72
947	1300	71
948	1301	69
949	1302	68
950	1302	67
951	1303	65
952	1304	64
953	1305	62
954	1306	61
955	1307	60
956	1307	58
957	1308	57
958	1310	56
959	1311	54
960	1312	53
961	1313	51
962	1314	50
963	1314	49
964	1315	47
965	1316	46
966	1317	44
967	1317	43
968	1318	42
969	1319	40
970	1320	39
971	1321	38
972	1322	36
973	1325	35
974	1326	34
975	1327	32
976	1328	31
977	1329	29
978	1330	28
979	1330	27
980	1331	25
981	1332	24
982	1333	23
983	1334	21
984	1335	20
985	1336	18
986	1339	17
987	1340	16
988	1341	14
989	1341	13
990	1342	12
991	1343	10
992	1344	9
993	1345	8
994	1345	6
995	1346	5
996	1347	4
997	1348	2
998	1351	1
999	1353	0
